Date,Volume,Close,Change,ChangePct
2026-02-09,568631,28.7,,
2026-02-10,5763354,28.75,0.05,+0.17%
2026-02-11,2964642,29.0,0.25,+0.87%
2026-02-12,1221142,29.35,0.35,+1.21%
2026-02-13,620357,29.55,0.2,+0.68%
2026-02-16,2432878,30.0,0.45,+1.52%
2026-02-17,418155,29.85,-0.15,-0.50%
2026-02-18,1534920,29.85,,
2026-02-19,1800572,29.45,-0.4,-1.34%
2026-02-20,311251,28.45,-1.0,-3.40%
