Date,Volume,Close,Change,ChangePct
2026-02-09,1357253,15.65,,
2026-02-10,1089156,16.7,1.05,+6.71%
2026-02-11,1554870,17.7,1.0,+5.99%
2026-02-12,3077669,18.2,0.5,+2.82%
2026-02-13,2622585,18.25,0.05,+0.27%
2026-02-16,2553063,18.4,0.15,+0.82%
2026-02-17,1642393,18.75,0.35,+1.90%
2026-02-18,2134955,18.55,-0.2,-1.07%
2026-02-19,881185,17.8,-0.75,-4.04%
2026-02-20,2226421,17.25,-0.55,-3.09%
